Lexus LX,$ 135 000,https://im.mashina.kg/tachka/images//1/8/a/18a738082fbec3f5048bcf1a3c6a90af_240x180.jpg,2018г. 5.7л. автоматвнедорожник5дв. бензинрульслева 54000км
Kia Sportage,$ 42 000,https://im.mashina.kg/tachka/images//6/e/c/6ece1b70decae24d3a35f3ae7f9bd6b2_240x180.jpg,2022г. 2.5л. автоматвнедорожник5дв. бензинрульслева 3800км
Lexus RX,$ 45 000,https://im.mashina.kg/tachka/images//9/2/9/92981baca26705ca1a726f9e5e4f5aff_240x180.jpg,2017г. 3.5л. автоматвнедорожник5дв. бензинрульслева 90000км
Toyota Camry,$ 30 000,https://im.mashina.kg/tachka/images//8/9/4/89435dbf4f657ca925780b482c263b17_240x180.jpg,2018г. 2.5л. вариаторседан гибридрульслева 80000км
Toyota Camry,$ 54 000,https://im.mashina.kg/tachka/images//0/2/8/0285ac64612c65a43d344b5d2e38deec_240x180.jpg,2023г. 2.5л. вариаторседан гибридрульслева 30км
BMW X5,$ 48 000,https://im.mashina.kg/tachka/images//e/3/f/e3f765c29a057355694c2ae400e8f052_240x180.jpg,2018г. 3л. автоматвнедорожник5дв. дизельрульслева 92000км
BMW 7 серии,$ 42 000,https://im.mashina.kg/tachka/images//c/a/6/ca6d47b0591f517603a0632d547875d6_240x180.jpg,2018г. 2л. автоматседан бензинрульслева 30600км
Toyota Highlander,$ 34 000,https://im.mashina.kg/tachka/images//f/9/d/f9d02fbcdac6e4ff7f59fbe663176ffe_240x180.jpg,2019г. 3.5л. автоматвнедорожник5дв. бензинрульслева 130000км
Kia Stinger,$ 36 000,https://im.mashina.kg/tachka/images//e/c/e/ecee40234b9de21d85fc40b92e4d293e_240x180.jpg,2017г. 3.3л. автоматлифтбек бензинрульслева 126000км
Toyota 4Runner,$ 23 500,https://im.mashina.kg/tachka/images//f/d/d/fdd8ed9cf9bb7dff93701e13ddef2f16_240x180.jpg,2006г. 4л. автоматвнедорожник5дв. бензинрульслева 190000км
Toyota Land Cruiser,$ 119 000,https://im.mashina.kg/tachka/images//9/5/1/95108f1936d654dedbdbe57325f9b7e3_240x180.jpg,2023г. 4л. автоматвнедорожник5дв. бензинрульслева 150км
Lexus GX,$ 52 500,https://im.mashina.kg/tachka/images//a/7/f/a7f6e35fcf1ab7b1770ca4a9e69e7d83_240x180.jpg,2018г. 4.6л. автоматвнедорожник5дв. бензинрульслева 50000км
Mitsubishi Pajero,$ 10 500,https://im.mashina.kg/tachka/images//5/3/1/53127198eb77c7297f61538ceb173c33_240x180.jpg,2003г. 3л. автоматвнедорожник5дв. бензинрульсправа 212420км
Honda Accord,$ 9 600,https://im.mashina.kg/tachka/images//d/1/6/d16c7d3931e583240a1ffefc68873feb_240x180.jpg,2005г. 2.4л. автоматседан бензинрульсправа 185000км
Hyundai Sonata,$ 14 200,https://im.mashina.kg/tachka/images//f/2/3/f23f3a279967fd7d6f26a80e87e77390_240x180.jpg,2018г. 2л. автоматседан газрульслева 97000км
Toyota Camry,$ 25 000,https://im.mashina.kg/tachka/images//9/f/1/9f10124151db2be500533bcb7e1cc6aa_240x180.jpg,2020г. 2.5л. автоматседан бензинрульслева 50000км
Toyota Camry,$ 27 000,https://im.mashina.kg/tachka/images//7/4/8/74877ec62a000719d91089e38c62c641_240x180.jpg,2020г. 2.5л. автоматседан бензинрульслева 62000км
BMW X7,$ 138 000,https://im.mashina.kg/tachka/images//2/9/5/29570ac2e01b0f2524b1635dd11b061e_240x180.jpg,2022г. 3л. автоматвнедорожник5дв. бензинрульслева 15000км
Toyota Camry (Japan),$ 10 700,https://im.mashina.kg/tachka/images//f/9/6/f9681c7e7ffde3b7e34bd419a4c40d98_240x180.jpg,2003г. 2.4л. автоматседан бензинрульсправа 295000км
BMW 5 серии,$ 36 999,https://im.mashina.kg/tachka/images//e/5/9/e59eeed033fbbb153e789d460bacd564_240x180.jpg,2018г. 3л. автоматседан бензинрульслева 65000км
Mercedes-Benz E-класс,$ 14 500,https://im.mashina.kg/tachka/images//f/d/c/fdcd06fbb33bfdacfd340c60f1a33a33_240x180.jpg,2001г. 4.3л. автоматседан бензинрульслева 220000км
Hyundai Tucson,$ 17 000,https://im.mashina.kg/tachka/images//a/c/c/accea6606347fb470d10d7d3bf6d54cc_240x180.jpg,2016г. 2л. автоматвнедорожник5дв. дизельрульслева 122000км
Subaru Outback,$ 17 500,https://im.mashina.kg/tachka/images//1/2/9/129810ff2a9c5f9df61c3fab1c51742e_240x180.jpg,2018г. 2.5л. вариаторуниверсал бензинрульслева 65000км
Hyundai Sonata,$ 12 500,https://im.mashina.kg/tachka/images//6/7/f/67f858d9da9f079772d1a272c41af980_240x180.jpg,2016г. 2.4л. автоматседан бензинрульслева 180000км
Lexus GS,$ 32 000,https://im.mashina.kg/tachka/images//a/3/e/a3eb0a15efadca5c273c493f896bd3d9_240x180.jpg,2017г. 2.5л. вариаторседан гибридрульслева 103000км
Hyundai Sonata,$ 17 900,https://im.mashina.kg/tachka/images//2/d/d/2dd9877fa94cc914f394768797b92fa8_240x180.jpg,2018г. 2л. автоматседан газрульслева 155000км
